시도명,연도,면적_ha,생산량_톤,생육기_최고기온(°C),총합_냉해_스트레스_일수,폭염일수 평균,장마_평균_일강수량(mm),합계 일조시간(hr),관측소 수,평균 일조시간(시간)
강원도,2015,596,3619,37.1,0,8,10.809,16790.1,13,1292
강원도,2016,558,4012,36.6,0,15.58,19.753,15612,13,1201
강원도,2017,551,4009,37.5,0,8.31,17.137,17609.1,14,1258
강원도,2018,559,3861,41,0,24.69,18.202,17493,14,1250
강원도,2019,590,4224,37.1,0,10.77,8.659,17167.3,14,1226
강원도,2020,584,3851,36.8,0,6.18,14.306,15346.9,14,1096
강원도,2021,735,5483,36.9,0,14.91,8.413,15815.1,14,1130
강원도,2022,770,5741,37.7,2,8.77,14.588,16410.4,14,1172
강원도,2023,815,5679,38.4,2,15.31,16.882,15909.6,14,1136
강원도,2024,751,6124,38.5,3,20.62,15.599,16939.2,14,1210
경기도,2015,912,6816,36.3,1,8.6,12.968,6694,5,1339
경기도,2016,1033,12543,36.5,0,26.4,17.574,6327,5,1265
경기도,2017,1155,14515,37.1,0,11.8,20.869,6543.9,5,1309
경기도,2018,1127,9309,40.1,1,34.8,22.344,6692.2,5,1338
경기도,2019,1011,7218,37.3,2,14.8,10.885,6342.5,5,1268
경기도,2020,978,7247,35.5,1,3.6,14.105,5588.9,5,1118
경기도,2021,895,6716,36.3,0,16,6.443,5919.7,5,1184
경기도,2022,831,6181,35.4,0,7.2,23.238,6025.8,5,1205
경기도,2023,889,6260,35.6,0,13.4,23.081,5483.1,5,1097
경기도,2024,885,6150,36,0,19.6,21.816,5978.6,5,1196
경상남도,2015,371,3880,37.4,0,12.79,13.097,15517.2,14,1108
경상남도,2016,365,3319,39.2,0,28.36,12.582,15930.8,14,1138
경상남도,2017,398,3941,39,0,20.36,8.366,18031.7,14,1288
경상남도,2018,484,3862,39.5,1,36,20.051,16597.1,14,1186
경상남도,2019,492,4876,36.9,1,14.21,22.274,16602.4,14,1186
경상남도,2020,487,5716,37.8,0,9.86,25.393,15454.4,14,1104
경상남도,2021,472,4145,38.3,0,15.86,18.255,15195.4,14,1085
경상남도,2022,492,4317,36.6,0,18,9.735,16392.3,14,1171
경상남도,2023,489,3432,37.8,0,18.36,24.391,14820.5,14,1059
경상남도,2024,567,4195,39.3,0,34.79,15.846,16852.5,14,1204
경상북도,2015,8412,89403,38.7,1,11.6,10.091,18112.6,15,1208
경상북도,2016,9288,105700,39.6,2,24.5,13.856,18133,15,1209
경상북도,2017,9658,114007,39.7,0,16.29,10.875,19956.5,15,1330
경상북도,2018,9767,108693,40.4,0,30.87,15.718,18771.6,15,1251
경상북도,2019,9578,105669,37.6,2,14.21,10.653,18625.6,15,1242
경상북도,2020,9764,98440,36.9,2,10.33,17.856,16992,15,1133
경상북도,2021,9432,101503,37,1,13.58,9.077,16044,15,1070
경상북도,2022,10017,101250,37.9,7,16.07,8.255,17870.7,15,1191
경상북도,2023,10002,95221,37.8,6,14,20.398,17055.2,15,1137
경상북도,2024,10252,104457,38.9,4,26.4,16.241,18933.7,15,1262
광주광역시,2015,26,142,36.2,2,13,7.645,1168.3,1,1168
광주광역시,2016,46,451,37.2,1,31,15.824,1161.2,1,1161
광주광역시,2017,54,502,37.3,1,24,9.876,1243.8,1,1244
광주광역시,2018,89,712,38.5,0,43,23.046,1234.7,1,1235
광주광역시,2019,86,994,34.8,4,12,13.019,1138.6,1,1139
광주광역시,2020,76,602,34.4,3,11,20.883,1078.8,1,1079
광주광역시,2021,54,511,35.1,3,14,11.38,1092.6,1,1093
광주광역시,2022,35,339,34.8,5,16,9.889,1207.3,1,1207
광주광역시,2023,36,219,35.7,2,18,37.063,1092.5,1,1092
광주광역시,2024,18,98,37.2,0,27,13.545,1235.9,1,1236
대구광역시,2015,234,2760,38.3,0,17,11.368,1180.3,1,1180
대구광역시,2016,289,3500,38.1,0,31,12.125,1190.4,1,1190
대구광역시,2017,270,3351,38.4,0,28,6.415,1343.1,1,1343
대구광역시,2018,259,2579,39.2,3,38,17.94,1240.7,1,1241
대구광역시,2019,227,2529,36.9,1,24,13.748,1214.6,1,1215
대구광역시,2020,209,2346,37,0,26,13.421,1182.1,1,1182
대구광역시,2021,233,1945,37.2,0,22,6.715,1117.5,1,1118
대구광역시,2022,214,1899,37.8,0,35,6.064,1260.5,1,1260
대구광역시,2023,225,1902,37.7,0,24,16.382,1144.5,1,1144
대구광역시,2024,453,4498,37.2,2,41,15.971,1265.7,1,1266
대전광역시,2015,17,70,36.3,0,11,9.232,1355.6,1,1356
대전광역시,2016,52,538,37.6,3,29,16.465,1336.7,1,1337
대전광역시,2017,53,510,35.9,0,12,16.243,1411.9,1,1412
대전광역시,2018,57,555,39.4,0,37,24.414,1364.7,1,1365
대전광역시,2019,47,450,36,2,18,9.732,1293.7,1,1294
대전광역시,2020,58,540,35.4,0,11,20.097,1219.9,1,1220
대전광역시,2021,47,485,36.1,0,21,8.388,1201.8,1,1202
대전광역시,2022,50,468,35.7,2,19,10.611,1201.5,1,1202
대전광역시,2023,46,679,35.7,1,23,30.73,1150.1,1,1150
대전광역시,2024,47,721,36.6,1,31,20.641,1325.7,1,1326
부산광역시,2015,1,0,33.5,0,1,11.133,1245,1,1245
부산광역시,2016,2,1,37.3,1,9,11.904,1312.2,1,1312
부산광역시,2017,6,49,36.2,0,6,10.155,1395.7,1,1396
부산광역시,2018,7,58,36.4,0,18,18.684,1346.7,1,1347
부산광역시,2019,11,77,35,0,3,28.586,1337.4,1,1337
부산광역시,2020,11,67,33.2,1,4,34.403,1161.2,1,1161
부산광역시,2021,6,65,35.6,0,3,26.447,1085,1,1085
부산광역시,2022,8,77,33.1,0,1,10.087,1193.9,1,1194
부산광역시,2023,13,92,35.7,0,11.5,25.023,2190.8,2,1095
부산광역시,2024,12,118,37,0,26,15.346,2439.2,2,1220
서울특별시,2015,0,0,36,0,7,13.043,1409.7,1,1410
서울특별시,2016,0,0,36.6,0,24,14.571,1317.4,1,1317
서울특별시,2017,0,2,35.4,0,13,22.586,1369.4,1,1369
서울특별시,2018,0,2,39.6,0,35,20.131,1371.3,1,1371
서울특별시,2019,0,0,36.8,0,14,7.366,1329,1,1329
서울특별시,2020,0,0,35.4,0,3,13.337,1035.7,1,1036
서울특별시,2021,2,1,36.5,0,18,10.47,1102.3,1,1102
서울특별시,2022,2,1,36.1,0,10,22.143,1140.9,1,1141
서울특별시,2023,0,0,35.8,0,18,21.029,1072.3,1,1072
서울특별시,2024,0,0,36.4,0,28,20.484,1199,1,1199
세종특별자치시,2015,414,5265,36.3,0,11,9.232,1355.6,1,1356
세종특별자치시,2016,478,5229,37.6,0,29,16.465,1336.7,1,1337
세종특별자치시,2017,521,6578,35.9,0,12,16.243,1411.9,1,1412
세종특별자치시,2018,478,4876,39.4,0,37,24.414,1364.7,1,1365
세종특별자치시,2019,457,5524,35.5,2,11,16.172,728.8,1,729
세종특별자치시,2020,400,2607,34.8,0,9,18.857,1112.4,1,1112
세종특별자치시,2021,503,3570,34.8,0,16,10.325,1147.9,1,1148
세종특별자치시,2022,555,3678,35.1,6,15,17.51,1214.9,1,1215
세종특별자치시,2023,492,2818,35.9,3,19,34.968,1072.6,1,1073
세종특별자치시,2024,447,3031,35.3,2,25,22.21,1241.7,1,1242
울산광역시,2015,7,56,36.8,0,16,10.587,1046.6,1,1047
울산광역시,2016,20,190,35.7,0,14,11.148,1256.9,1,1257
울산광역시,2017,17,146,36.1,0,18,4.996,1413.9,1,1414
울산광역시,2018,21,148,37.3,0,23,13.684,1292.7,1,1293
울산광역시,2019,23,96,35,0,8,18.724,1327.1,1,1327
울산광역시,2020,23,113,35.5,0,11,23.346,1287.9,1,1288
울산광역시,2021,30,159,34.2,0,7,11.453,1212.2,1,1212
울산광역시,2022,42,218,35.2,0,10,8.633,1282.8,1,1283
울산광역시,2023,41,320,34.9,0,6,13.87,1135.7,1,1136
울산광역시,2024,40,299,35.9,1,19,13.63,1302.2,1,1302
인천광역시,2015,19,73,33.5,0,1.5,10.308,4209.1,3,1403
인천광역시,2016,12,116,34,0,6.5,12.757,3881.5,3,1294
인천광역시,2017,13,54,34,0,2,12.219,4069.6,3,1357
인천광역시,2018,19,58,35.9,0,19,15.206,3935.8,3,1312
인천광역시,2019,24,100,36,0,8.5,9.817,4046.6,3,1349
인천광역시,2020,20,113,34.2,0,1,13.887,3436.6,3,1146
인천광역시,2021,2,15,34.8,0,8.5,5.298,3810.3,3,1270
인천광역시,2022,4,27,35.2,0,2,21.557,3623.4,3,1208
인천광역시,2023,4,29,34.6,0,2,17.662,3496.7,3,1166
인천광역시,2024,4,29,35.6,0,7.5,15.6,3805.6,3,1269
전라남도,2015,506,2252,37.1,0,6.18,12.58,16193.6,14,1157
전라남도,2016,692,6841,37.8,0,19.08,13.487,16409.8,14,1172
전라남도,2017,759,4861,37.2,0,9.07,8.975,17703.8,14,1265
전라남도,2018,710,4364,37.6,0,23.07,22.005,16684.3,14,1192
전라남도,2019,780,6187,35.4,0,7,18.931,15928.3,14,1138
전라남도,2020,788,5702,35.7,3,5.58,19.355,14050.7,13,1081
전라남도,2021,777,5779,36.5,0,6.33,21.719,15132.8,13,1164
전라남도,2022,911,6532,35,0,7.78,10.93,15091.3,13,1161
전라남도,2023,966,4898,36.6,0,10.08,25.062,13670.4,13,1052
전라남도,2024,923,4556,37,0,25.46,18.198,16066.5,13,1236
전라북도,2015,913,8111,36.6,13,9.7,9.754,11489.7,10,1149
전라북도,2016,1265,12923,37,5,25.8,13.642,12061.9,10,1206
전라북도,2017,1341,14054,37,1,12.9,11.522,12650.6,10,1265
전라북도,2018,1374,13296,38.9,0,35.2,23.499,12727.1,10,1273
전라북도,2019,1345,13727,36,2,12,13.659,11574.1,10,1157
전라북도,2020,1309,13838,35.1,1,7.78,17.802,10428.2,10,1043
전라북도,2021,1067,13034,36.3,0,13.1,10.595,11230.6,10,1123
전라북도,2022,1144,13230,35.8,0,9.3,8.562,11736,10,1174
전라북도,2023,1171,12143,37,1,16.2,30.048,10757.4,10,1076
전라북도,2024,1137,11058,37.5,1,26.9,17.883,12038.7,10,1204
제주도,2015,1,0,36.7,0,4,20.557,4567.1,4,1142
제주도,2016,2,33,35.5,0,8.25,13.668,4316.4,4,1079
제주도,2017,2,24,37,0,11.75,11.847,4873.9,4,1218
제주도,2018,2,21,35.5,0,9,12.932,4612.8,4,1153
제주도,2019,23,4,35.4,0,5,23.754,4630.9,4,1158
제주도,2020,19,3,36.3,0,7.5,15.961,4533.4,4,1133
제주도,2021,0,1,34.2,0,7.5,11.189,4688.5,4,1172
제주도,2022,0,0,37.5,0,12,12.73,4883.5,4,1221
제주도,2023,1,3,37.3,0,8.67,14.682,4253.2,4,1063
제주도,2024,1,1,35.5,0,18.75,18.379,4548.5,4,1137
충청남도,2015,515,4108,36.3,0,5.2,9.168,5993.5,5,1199
충청남도,2016,395,3871,36.2,3,20.83,14.498,7568.1,6,1261
충청남도,2017,405,4057,36.5,0,7.83,16.565,7673.7,6,1279
충청남도,2018,379,3805,39.3,1,32,21.344,7789.3,6,1298
충청남도,2019,371,3205,36.4,1,10.5,9.481,6885.9,6,1148
충청남도,2020,370,2799,34.9,3,4,17.617,6363.6,6,1061
충청남도,2021,293,2619,35.8,0,14.33,8.574,6872.4,6,1145
충청남도,2022,280,2282,35,5,8.83,12.617,7240.7,6,1207
충청남도,2023,276,2256,36.2,0,15,26.666,6866.2,6,1144
충청남도,2024,242,1907,36.7,0,23.67,23.948,7723.8,6,1287
충청북도,2015,4174,32592,36.4,0,9.5,11.125,5025.2,4,1256
충청북도,2016,5380,48272,36.7,0,27,19.734,4793.3,4,1198
충청북도,2017,5827,51624,36.7,0,10,22.292,5113.9,4,1278
충청북도,2018,5756,50690,40,2,37.5,20.205,5136.9,4,1284
충청북도,2019,5569,55465,36.7,2,15.5,8.785,4674.8,4,1169
충청북도,2020,5354,45073,36,2,6,16.221,4258.4,4,1065
충청북도,2021,4927,46063,36.4,0,16.25,10.68,4508.1,4,1127
충청북도,2022,4962,45070,36,0,11.25,14.77,4856.3,4,1214
충청북도,2023,4661,47024,36.4,1,16.6,28.075,5370.9,5,1074
충청북도,2024,4517,47559,37,3,20.8,22.815,6140.8,5,1228
