瘤痢,斥档,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
措包飞,2015,2015-05-10, , , , , 
悼秦,2015,2015-03-27,2老,2015-04-08,-3老,2015-04-16, 
合碍釜,2015,2015-03-31,5老,2015-04-06,-2老,2015-04-20,6老
合碍釜,2016,2016-03-31,5老,2016-04-06,-2老,2016-04-09,-5老
合碍釜,2017,2017-04-04,9老,2017-04-08,0老,2017-04-13,-1老
合碍釜,2018,2018-03-30,4老,2018-04-02,-6老,2018-04-06,-8老
合碍釜,2019,2019-04-01,6老,2019-04-05,-3老,2019-04-08,-6老
合碍釜,2020,2020-03-21,-5老,2020-03-29,-10老,2020-04-03,-11老
合碍釜,2021,2021-03-23,-3老,2021-03-30,-9老,2021-04-06,-8老
合碍釜,2022,2022-03-06,-20老,2022-04-10,2老,2022-04-11,-3老
合碍釜,2023,2023-03-09,-17老,2023-03-31,-8老,2023-04-05,-9老
合碍釜,2024,2024-03-11,-15老,2024-04-08,0老,2024-04-11,-3老
合冕玫,2017,2017-04-03,-2老,2017-04-12,-5老,2017-04-17, 
合冕玫,2018,2018-03-27,-9老,2018-04-18,1老,2018-04-21, 
合冕玫,2019,2019-04-07,2老,2019-04-21,4老,2019-04-22, 
合冕玫,2020,2020-04-02,-3老,2020-04-08,-9老,2020-04-14, 
合冕玫,2021,2021-04-02,-3老,2021-04-10,-7老,2021-04-13, 
合冕玫,2022,2022-04-12,7老,2022-04-14,-3老,2022-04-19, 
合冕玫,2023,2023-04-01,-4老,2023-04-03,-14老,2023-04-08, 
合冕玫,2024,2024-04-02,-3老,2024-04-10,-7老,2024-04-12, 
加檬,2015,2015-04-01,1老,2015-04-16,3老, , 
康岿,2015,2015-04-07,-2老,2015-04-15,-4老,2015-04-21, 
盔林,2015,2015-04-01,-1老,2015-04-16,0老, , 
枚盔,2015,2015-04-07,-7老, , , , 
冕玫,2015,2015-03-29, ,2015-04-15, , , 
冕玫,2016,2016-03-31, ,2016-04-12, ,2016-04-15, 
悼滴玫,2015,2015-04-06,0老,2015-04-13,-5老,2015-04-17, 
荐盔,2015,2015-03-27,-5老,2015-04-11,-3老,2015-04-16,-1老
荐盔,2016,2016-03-27,-5老,2016-04-07,-7老,2016-04-10,-7老
荐盔,2017,2017-03-24,-8老,2017-04-14,0老,2017-04-16,-1老
荐盔,2018,2018-03-23,-9老,2018-04-11,-3老,2018-04-16,-1老
荐盔,2019,2019-03-31,-1老,2019-04-13,-1老,2019-04-16,-1老
荐盔,2020,2020-03-29,-3老,2020-04-07,-7老,2020-04-11,-6老
荐盔,2021,2021-03-31,-1老,2021-04-05,-9老,2021-04-12,-5老
荐盔,2022,2022-04-09,8老,2022-04-15,1老,2022-04-19,2老
荐盔,2023,2023-04-03,2老,2023-04-09,-5老,2023-04-15,-2老
荐盔,2024,2024-04-06,5老,2024-04-11,-3老,2024-04-13,-4老
捞玫,2015,2015-03-30,0老,2015-04-12,-2老,2015-04-15, 
颇林,2015,2015-04-14,-1老,2015-04-20,-4老, , 
芭芒,2015,2015-03-27,-5老,2015-04-13,2老, , 
柳林,2015,2015-03-24,0老,2015-04-02,-2老, , 
芒盔,2015,2015-03-23,6老,2015-04-02,1老,搬螟,―
芒盔,2016,2016-03-24,7老,2016-03-31,-1老,2016-04-15, 
芒盔,2017,2017-03-23,6老,2017-04-03,2老,2017-04-16, 
芒盔,2018,2018-03-12,-5老,2018-04-02,1老,2018-04-07, 
芒盔,2019,2019-03-15,-2老,2019-03-26,-6老,2019-03-31, 
芒盔,2020,2020-03-10,-7老,2020-03-26,-6老,2020-04-02, 
芒盔,2021,2021-03-10,-7老,2021-03-23,-9老,2021-03-30, 
芒盔,2022,2022-03-17,0老,2022-03-30,-2老,2022-04-04, 
芒盔,2023,2023-03-16,-1老,2023-03-22,-10老,2023-03-26, 
芒盔,2024,2024-03-16,-1老,2024-03-30,-2老,2024-04-05, 
烹康,2015,2015-03-24,5老,2015-03-30,-2老, , 
备固,2015,2015-03-20,-4老,2015-04-03,-4老, , 
惑林,2015,2015-03-25,-2老,2015-04-05,-3老, , 
救悼,2015,2015-03-27,-1老,2015-04-13,2老,搬螟,―
救悼,2016,2016-03-25,-3老,2016-04-05,-6老,2016-04-09,-4老
救悼,2017,2017-04-03,6老,2017-04-11,0老,2017-04-13,0老
救悼,2018,2018-04-01,4老,2018-04-04,-7老,2018-04-08,-5老
救悼,2019,2019-04-02,5老,2019-04-09,-2老,2019-04-11,-2老
救悼,2020,2020-03-22,-6老,2020-04-01,-10老,2020-04-03,-10老
救悼,2021,2021-03-22,-6老,2021-04-01,-10老,2021-04-03,-10老
救悼,2022,2022-03-23,-5老,2022-04-01,-10老,2022-04-07,-6老
救悼,2023,2023-03-08,-20老,2023-03-31,-11老,2023-04-02,-11老
救悼,2024,2024-03-13,-15老,2024-04-02,-9老,2024-04-06,-7老
匡釜档,2015,2015-03-27,-3老,2015-04-12,0老,搬螟,―
匡釜档,2016,2016-03-28,-2老,2016-04-12,0老,2016-04-15, 
匡釜档,2017,2017-03-30,0老,2017-04-12,0老,2017-04-15, 
匡釜档,2018,2018-03-27,-3老,2018-04-08,-4老,2018-04-11, 
匡釜档,2019,2019-02-20,-38老,2019-03-18,-25老,2019-03-25, 
匡釜档,2020,2020-03-22,-8老,2020-03-25,-18老,2020-03-31, 
匡釜档,2021,2021-03-22,-8老,2021-03-25,-18老,2021-03-29, 
匡釜档,2022,2022-03-28,-2老,2022-04-08,-4老,2022-04-18, 
匡釜档,2023,2023-03-27,-3老,2023-04-05,-7老,2023-04-10, 
匡釜档,2024,2024-04-08,9老,2024-04-14,2老,2024-04-17, 
匡柳,2015,2015-03-27,7老,2015-04-10,6老,2015-04-17, 
器亲,2015,2015-03-13,-3老,2015-03-28,1老,2015-04-07,-2老
器亲,2016,2016-03-22,6老,2016-03-31,4老,2016-04-02,-7老
器亲,2017,2017-03-16,0老,2017-03-29,2老,2017-04-07,-2老
器亲,2018,2018-03-10,-6老,2018-03-14,-13老,2018-04-04,-5老
器亲,2019,2019-03-16,0老,2019-03-28,1老,2019-04-03,-6老
器亲,2020,2020-03-15,-1老,2020-03-23,-4老,2020-03-25,-15老
器亲,2021,2021-03-11,-5老,2021-03-23,-4老,2021-03-25,-15老
器亲,2022,2022-02-03,-41老,2022-02-09,-46老,2022-03-14,-26老
器亲,2023,2023-02-03,-41老,2023-03-10,-17老,2023-03-22,-18老
器亲,2024,2024-03-14,-2老,2024-04-01,5老,2024-04-04,-5老
堡林,2015,2015-03-14,-4老,2015-03-30,-2老,2015-04-03,-3老
堡林,2016,2016-03-13,-5老,2016-03-31,-1老,2016-04-05,-1老
堡林,2017,2017-03-15,-3老,2017-04-04,3老,2017-04-09,3老
堡林,2018,2018-03-12,-6老,2018-03-30,-2老,2018-03-31,-6老
堡林,2019,2019-02-24,-22老,2019-03-29,-3老,2019-04-02,-4老
堡林,2020,2020-02-24,-23老,2020-03-24,-8老,2020-03-29,-8老
堡林,2021,2021-02-21,-25老,2021-03-23,-9老,2021-03-25,-12老
堡林,2022,2022-02-28,-18老,2022-03-30,-2老,2022-04-02,-4老
堡林,2023,2023-03-02,-16老,2023-03-24,-8老,2023-03-27,-10老
堡林,2024,2024-03-23,5老,2024-04-02,1老,2024-04-04,-2老
措备,2015,2015-03-21,2老,2015-03-30,-2老,2015-04-06,2老
措备,2016,2016-03-27,8老,2016-03-30,-2老,2016-04-01,-3老
措备,2017,2017-03-21,2老,2017-03-28,-4老,2017-03-31,-4老
措备,2018,2018-03-13,-6老,2018-03-31,-1老,2018-04-03,-1老
措备,2019,2019-03-19,0老,2019-03-25,-7老,2019-03-29,-6老
措备,2020,2020-03-17,-2老,2020-03-21,-11老,2020-03-25,-10老
措备,2021,2021-03-16,-3老,2021-03-23,-9老,2021-03-28,-7老
措备,2022,2022-03-21,2老,2022-03-29,-3老,2022-04-03,-1老
措备,2023,2023-03-10,-9老,2023-03-22,-10老,2023-03-28,-7老
措备,2024,2024-03-08,-11老,2024-03-29,-3老,2024-04-02,-2老
措备(扁),2015,2015-03-21, ,2015-03-30, , , 
措傈,2015,2015-03-29,0老,2015-04-05,-4老,2015-04-13,1老
措傈,2016,2016-03-21,-8老,2016-04-02,-7老,2016-04-07,-5老
措傈,2017,2017-03-28,-1老,2017-04-08,-1老,2017-04-11,-1老
措傈,2018,2018-03-30,1老,2018-04-03,-6老,2018-04-09,-3老
措傈,2019,2019-03-29,0老,2019-04-07,-2老,2019-04-12,0老
措傈,2020,2020-03-20,-9老,2020-03-28,-12老,2020-03-31,-12老
措傈,2021,2021-03-20,-9老,2021-03-29,-11老,2021-04-02,-10老
措傈,2022,2022-03-16,-13老,2022-04-06,-3老,2022-04-09,-3老
措傈,2023,2023-03-19,-10老,2023-03-28,-12老,2023-03-31,-12老
措傈,2024,2024-03-15,-14老,2024-04-02,-7老,2024-04-04,-8老
何魂,2015,2015-03-13,-1老,2015-03-30,1老,搬螟,―
何魂,2016,2016-03-10,-4老,2016-03-31,2老,2016-04-08, 
何魂,2017,2017-03-19,5老,2017-03-28,-1老,2017-04-07, 
何魂,2018,2018-03-17,3老,2018-03-29,0老,2018-04-03, 
何魂,2019,2019-03-14,0老,2019-03-25,-4老,2019-03-28, 
何魂,2020,2020-03-02,-12老,2020-03-19,-10老,2020-03-28, 
何魂,2021,2021-03-09,-5老,2021-03-18,-11老,2021-03-22, 
何魂,2022,2022-03-17,3老,2022-03-30,1老,2022-04-07, 
何魂,2023,2023-03-15,1老,2023-03-23,-6老,2023-03-26, 
何魂,2024,2024-03-17,3老,2024-03-30,1老,2024-04-04, 
辑匡,2015,2015-03-31,0老,2015-04-11,-2老,2015-04-17,0老
辑匡,2016,2016-04-01,1老,2016-04-06,-7老,2016-04-10,-7老
辑匡,2017,2017-04-01,1老,2017-04-11,-2老,2017-04-14,-3老
辑匡,2018,2018-04-02,2老,2018-04-13,0老,2018-04-16,-1老
辑匡,2019,2019-04-01,1老,2019-04-12,-1老,2019-04-17,0老
辑匡,2020,2020-03-27,-4老,2020-04-06,-7老,2020-04-11,-6老
辑匡,2021,2021-03-31,0老,2021-04-04,-9老,2021-04-09,-8老
辑匡,2022,2022-04-05,5老,2022-04-11,-2老,2022-04-15,-2老
辑匡,2023,2023-03-29,-2老,2023-04-03,-10老,2023-04-13,-4老
辑匡,2024,2024-03-28,-3老,2024-04-06,-7老,2024-04-10,-7老
匡魂,2015,2015-03-24,5老,2015-03-30,-1老,搬螟,―
匡魂,2016,2016-03-23,4老,2016-03-30,-1老,2016-04-14, 
匡魂,2017,2017-03-22,3老,2017-04-02,2老,2017-04-07, 
匡魂,2018,2018-03-23,4老,2018-04-04,4老,2018-04-08, 
匡魂,2019,2019-03-19,0老,2019-03-25,-6老,2019-03-27, 
匡魂,2020,2020-03-20,1老,2020-03-25,-6老,2020-03-29, 
匡魂,2021,2021-03-16,-3老,2021-03-26,-5老,2021-03-29, 
匡魂,2022,2022-03-26,7老,2022-04-03,3老,2022-04-08, 
匡魂,2023,2023-03-18,-1老,2023-03-26,-5老,2023-03-28, 
匡魂,2024,2024-03-17,-2老,2024-03-31,0老,2024-04-04, 
归飞档,2015,2015-04-17,2老,2015-05-07,6老,2015-05-13, 
归飞档,2016,2016-04-21,6老,2016-05-03,2老,2016-05-16, 
归飞档,2017,2017-04-07,-8老,2017-04-18,-13老,2017-04-30, 
归飞档,2018,2018-04-05,-10老,2018-04-16,-15老,2018-04-29, 
归飞档,2019,2019-04-01,-14老,2019-04-13,-18老,2019-04-25, 
归飞档,2020,2020-03-31,-15老,2020-04-10,-21老,2020-04-21, 
归飞档,2021,2021-04-01,-14老,2021-04-20,-11老,2021-04-29, 
归飞档,2022,2022-04-09,-6老,2022-04-25,-6老,2022-05-10, 
归飞档,2023,2023-03-30,-16老,2023-04-19,-12老,2023-04-27, 
归飞档,2024,2024-04-05,-10老,2024-04-18,-13老,2024-04-22, 
牢玫,2015,2015-04-01,-2老,2015-04-12,-5老,2015-04-18,-1老
牢玫,2016,2016-04-02,-1老,2016-04-08,-9老,2016-04-15,-4老
牢玫,2017,2017-04-06,3老,2017-04-10,-7老,2017-04-15,-4老
牢玫,2018,2018-04-06,3老,2018-04-14,-3老,2018-04-19,0老
牢玫,2019,2019-04-08,5老,2019-04-12,-5老,2019-04-17,-2老
牢玫,2020,2020-03-31,-3老,2020-04-05,-12老,2020-04-08,-11老
牢玫,2021,2021-03-31,-3老,2021-04-04,-13老,2021-04-08,-11老
牢玫,2022,2022-04-04,1老,2022-04-15,-2老,2022-04-21,2老
牢玫,2023,2023-04-03,0老,2023-04-14,-3老,2023-04-20,1老
牢玫,2024,2024-04-02,-1老,2024-04-12,-5老,2024-04-15,-4老
格器,2015,2015-03-28,4老,2015-04-08,1老,2015-04-12,0老
格器,2016,2016-03-25,1老,2016-04-07,0老,2016-04-14,2老
格器,2017,2017-03-18,-6老,2017-04-10,3老,2017-04-16,4老
格器,2018,2018-03-20,-4老,2018-04-02,-5老,2018-04-04,-8老
格器,2019,2019-03-19,-5老,2019-03-31,-7老,2019-04-05,-7老
格器,2020,2020-03-05,-19老,2020-03-25,-13老,2020-03-28,-15老
格器,2021,2021-03-08,-16老,2021-03-26,-12老,2021-03-29,-14老
格器,2022,2022-03-15,-9老,2022-04-01,-6老,2022-04-05,-7老
格器,2023,2023-03-15,-9老,2023-03-29,-9老,2023-04-02,-10老
格器,2024,2024-03-13,-11老,2024-03-29,-9老,2024-04-02,-10老
鉴玫,2015,2015-03-20, ,2015-04-03, , , 
咯荐,2015,2015-03-20,5老,2015-04-01,-1老,2015-04-07,-1老
咯荐,2016,2016-03-10,-5老,2016-04-01,-1老,2016-04-08,0老
咯荐,2017,2017-03-14,-1老,2017-04-03,1老,2017-04-08,0老
咯荐,2018,2018-03-16,1老,2018-03-30,-3老,2018-04-03,-5老
咯荐,2019,2019-03-07,-8老,2019-03-27,-6老,2019-03-31,-8老
咯荐,2020,2020-03-20,5老,2020-04-01,-1老,2020-04-03,-5老
咯荐,2021,2021-03-19,4老,2021-03-26,-7老,2021-03-29,-10老
咯荐,2022,2022-03-15,0老,2022-03-30,-3老,2022-04-05,-3老
咯荐,2023,2023-03-21,6老,2023-03-25,-8老,2023-03-29,-10老
咯荐,2024,2024-03-27,12老,2024-03-31,-2老,2024-04-04,-4老
肯档,2015,2015-03-30,12老,2015-04-02,1老,2015-04-07, 
柳档(梅蔓魂),2015,2015-03-20,-6老,2015-04-03,-7老,2015-04-07, 
孺魂档,2015,2015-03-22,2老,2015-04-09,-3老,2015-04-17, 
孺魂档,2016,2016-03-27,7老,2016-04-11,-1老,2016-04-17, 
孺魂档,2017,2017-03-28,8老,2017-04-11,-1老,2017-04-17, 
孺魂档,2018,2018-04-02,13老,2018-04-11,-1老,2018-04-17, 
孺魂档,2019,2019-03-18,-2老,2019-04-15,3老,2019-04-19, 
孺魂档,2020,2020-03-24,4老,2020-04-16,4老,2020-04-24, 
孺魂档,2021,2021-03-28,8老,2021-04-01,-11老,2021-04-14, 
孺魂档,2022,2022-03-29,9老,2022-04-05,-7老,2022-04-15, 
孺魂档,2023,2023-03-25,5老,2023-04-02,-10老,2023-04-08, 
孺魂档,2024,2024-03-14,-6老,2024-04-07,-5老,2024-04-15, 
绊芒,2015,2015-03-18, ,2015-03-27, , , 
焙魂,2015,2015-03-19,-13老,2015-04-13,-5老,2015-04-21, 
巢盔,2015,2015-03-31,-5老,2015-04-03,-7老,2015-04-08, 
傈林,2015,2015-03-07,-17老,2015-04-06,-2老,2015-04-11,1老
傈林,2016,2016-03-07,-17老,2016-04-06,-2老,2016-04-05,-5老
傈林,2017,2017-03-16,-8老,2017-04-04,-4老,2017-04-08,-2老
傈林,2018,2018-03-14,-10老,2018-04-01,-7老,2018-04-04,-6老
傈林,2019,2019-03-22,-2老,2019-04-06,-2老,2019-04-11,1老
傈林,2020,2020-03-15,-9老,2020-03-30,-9老,2020-04-02,-8老
傈林,2021,2021-03-15,-9老,2021-03-24,-15老,2021-03-29,-12老
傈林,2022,2022-03-10,-14老,2022-04-05,-3老,2022-04-07,-3老
傈林,2023,2023-03-13,-11老,2023-03-29,-10老,2023-04-01,-9老
傈林,2024,2024-03-11,-13老,2024-04-02,-6老,2024-04-05,-5老
沥谰,2015,2015-03-20,-8老,2015-04-01,-8老,2015-04-07, 
绊魂,2015,2015-03-13,0老,2015-03-30,4老, , 
辑蓖器,2015,2015-03-12,5老,2015-03-19,-1老, , 
辑蓖器,2019,2019-03-08,1老,2019-03-20,0老,2019-03-25, 
辑蓖器,2020,2020-03-04,-3老,2020-03-13,-7老,2020-03-19, 
辑蓖器,2021,2021-03-02,-5老,2021-03-08,-12老,2021-03-12, 
辑蓖器,2022,2022-03-17,10老,2022-03-22,2老,2022-03-24, 
辑蓖器,2023,2023-03-10,3老,2023-03-15,-5老,2023-03-20, 
辑蓖器,2024,2024-03-15,8老,2024-03-19,-1老,2024-03-29, 
己魂,2015,2015-03-03,-8老,2015-03-19,-7老, , 
力林,2015,2015-03-06,-6老,2015-03-22,-3老,包螟 救凳,―
力林,2016,2016-03-06,-6老,2016-03-26,1老,2016-03-31, 
力林,2017,2017-03-11,-1老,2017-03-28,3老,2017-04-04, 
力林,2018,2018-03-11,-1老,2018-03-19,-6老,2018-03-26, 
力林,2019,2019-03-11,-1老,2019-03-20,-5老,2019-03-26, 
力林,2020,2020-03-13,1老,2020-03-18,-7老,2020-03-26, 
力林,2021,2021-03-04,-8老,2021-03-09,-16老,2021-03-13, 
力林,2022,2022-03-17,5老,2022-03-24,-1老,2022-03-29, 
力林,2023,2023-03-13,1老,2023-03-24,-1老,2023-03-29, 
力林,2024,2024-03-15,3老,2024-03-25,0老,2024-04-05, 
焊飞,2015,2015-03-30,1老,2015-04-13,-2老, , 
辑魂,2015,2015-03-23,-8老,2015-04-10,-6老,2015-04-16, 
辑魂,2016,2016-03-29,-2老,2016-04-10,-6老,2016-04-14, 
辑魂,2017,2017-04-01,1老,2017-04-11,-5老,2017-04-14, 
玫救,2015,2015-04-02,3老,2015-04-12,-1老,2015-04-16, 
全己,2018,2018-04-02, ,2018-04-12, ,2018-04-15, 
全己,2019,2019-04-09, ,2019-04-16, ,2019-04-19, 
全己,2020,2020-03-26, ,2020-04-06, ,2020-04-09, 
全己,2021,2021-04-01, ,2021-04-07, ,2021-04-10, 
全己,2022,2022-03-24, ,2022-04-11, ,2022-04-16, 
全己,2023,2023-03-31, ,2023-04-10, ,2023-04-15, 
全己,2024,2024-04-04, ,2024-04-11, ,2024-04-13, 
没林,2015,2015-03-28,1老,2015-04-13,1老,2015-04-16,4老
没林,2016,2016-03-22,-5老,2016-04-04,-8老,2016-04-06,-6老
没林,2017,2017-03-23,-4老,2017-04-07,-5老,2017-04-09,-3老
没林,2018,2018-03-18,-9老,2018-04-03,-9老,2018-04-06,-6老
没林,2019,2019-03-19,-8老,2019-04-07,-5老,2019-04-12,0老
没林,2020,2020-03-14,-13老,2020-03-29,-14老,2020-04-01,-11老
没林,2021,2021-03-12,-15老,2021-03-29,-14老,2021-04-01,-11老
没林,2022,2022-03-27,0老,2022-04-07,-5老,2022-04-09,-3老
没林,2023,2023-03-11,-16老,2023-03-28,-15老,2023-03-31,-12老
没林,2024,2024-03-09,-18老,2024-04-02,-10老,2024-04-06,-6老
眠浅飞,2015,2015-03-27,-3老,2015-04-12,-3老,2015-04-17, 
面林,2015,2015-04-03,1老,2015-04-16,1老,2015-04-21, 
